Team,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season,Leage,ln1divwmin1
Albany,1.00,34.00,40.10,24.80,55.50,0.45,7.20,19.80,0.36,15.40,20.40,0.76,12.60,16.90,11.10,21.70,32.80,12.50,5.70,2.80,72.10,3.00,0.56,0.51,156.60,34.90,69.70,52.10,50.40,16.40,8.40,7.50,1.30,49.90,107.70,103.20,4.50,2277.70,66.70,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,3.00,0.00,1.50,1.00,0.40,0.28,19.00,15.00,0.56,2012.00,America East Conference,-0.24
Binghamton,9.00,31.00,40.20,20.20,50.90,0.40,4.30,14.10,0.30,12.10,17.40,0.70,14.90,17.90,8.20,20.20,28.40,11.20,6.00,2.20,56.80,9.00,0.49,0.44,139.80,26.30,69.90,47.30,55.20,20.30,9.10,6.20,1.10,30.90,85.80,106.80,-21.00,2053.00,66.00,9.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,74.00,-13.90,3.00,1.55,0.70,0.40,0.24,2.00,29.00,0.07,2012.00,America East Conference,2.65
Boston University,5.00,32.00,40.20,22.70,53.70,0.42,6.30,19.80,0.32,12.20,18.20,0.67,13.60,16.80,9.90,22.70,32.60,11.60,5.80,3.00,63.90,4.00,0.52,0.48,141.30,31.40,69.50,50.80,51.20,18.00,8.90,8.60,1.20,42.10,97.20,96.60,0.50,2104.60,65.50,6.00,5.00,0.00,0.00,0.00,0.00,0.00,2.00,83.00,0.30,5.00,1.51,0.90,0.40,0.23,16.00,16.00,0.50,2012.00,America East Conference,0.00
Hartford,8.00,31.00,40.60,21.10,51.00,0.41,7.40,23.70,0.31,10.50,15.70,0.67,15.50,19.70,6.60,20.40,27.10,13.10,6.60,2.10,60.00,7.00,0.52,0.49,139.00,21.10,68.40,44.20,62.10,21.20,9.80,6.10,1.20,33.70,89.20,99.90,-10.70,2085.90,66.20,7.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,86.00,-7.20,8.00,1.62,0.80,0.40,0.21,9.00,22.00,0.29,2012.00,America East Conference,0.89
Maine,2.00,29.00,40.50,25.90,58.50,0.44,5.80,17.90,0.33,11.00,15.00,0.73,13.10,18.60,10.30,22.60,32.80,14.10,6.10,4.20,68.60,5.00,0.53,0.49,150.20,30.70,66.60,48.80,54.40,16.80,8.80,10.40,1.20,47.70,99.70,99.30,0.40,1995.60,67.90,1.00,18.00,0.00,0.00,0.00,0.00,3.00,3.00,113.00,0.20,0.00,1.54,1.10,0.50,0.19,12.00,17.00,0.41,2012.00,America East Conference,0.34
New Hampshire,7.00,29.00,40.00,21.30,53.30,0.40,7.30,21.30,0.34,11.10,18.20,0.61,13.10,18.10,8.90,22.20,31.10,9.80,5.30,2.40,61.20,6.00,0.50,0.47,135.20,26.70,70.70,48.10,46.00,17.60,8.00,6.20,1.10,35.20,92.50,95.00,-2.50,1918.00,66.10,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,-1.70,2.00,1.46,0.80,0.40,0.21,13.00,16.00,0.45,2012.00,America East Conference,0.21
Stony Brook,4.00,32.00,40.20,24.00,56.20,0.43,6.20,18.80,0.33,12.20,17.60,0.69,12.30,15.10,13.10,21.80,34.90,11.10,5.50,1.70,66.40,1.00,0.52,0.48,145.20,40.10,75.00,56.60,46.20,16.20,8.70,5.40,1.20,45.30,104.40,92.90,11.50,2036.10,63.40,3.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,93.00,7.30,4.00,1.46,0.90,0.40,0.22,22.00,10.00,0.69,2012.00,America East Conference,-0.79
UMBC,6.00,30.00,40.50,22.90,58.30,0.39,5.10,17.10,0.30,12.40,18.80,0.66,14.60,20.90,10.70,21.30,32.00,10.30,5.80,1.80,63.20,8.00,0.48,0.44,135.00,30.20,66.50,47.40,44.90,18.00,8.30,4.90,1.10,31.50,89.40,109.00,-19.60,2121.80,69.90,2.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,82.00,-13.80,2.00,1.45,0.70,0.40,0.21,4.00,26.00,0.13,2012.00,America East Conference,1.87
Vermont,3.00,36.00,40.40,23.60,53.10,0.44,5.30,15.60,0.34,14.70,19.90,0.74,12.40,17.40,10.00,23.30,33.40,13.20,6.10,2.40,67.10,2.00,0.54,0.49,152.40,33.30,70.60,52.80,55.90,16.70,9.40,6.60,1.30,47.40,103.30,93.70,9.50,2339.30,64.30,8.00,5.00,0.00,0.00,0.00,0.00,3.00,0.00,92.00,6.20,0.00,1.56,1.10,0.50,0.28,24.00,12.00,0.67,2012.00,America East Conference,-0.70
Albany,4.00,35.00,40.10,21.70,50.00,0.44,6.10,16.40,0.37,14.70,20.00,0.74,13.40,16.10,9.00,22.60,31.60,11.30,5.50,2.00,64.30,3.00,0.55,0.50,154.30,30.70,72.10,52.10,51.80,18.50,8.60,5.90,1.30,42.50,100.90,95.20,5.70,2229.80,63.50,8.00,5.00,1.00,0.00,0.00,0.00,2.00,0.00,83.00,3.70,0.00,1.52,0.80,0.40,0.30,24.00,11.00,0.69,2013.00,America East Conference,-0.78
Binghamton,9.00,30.00,40.00,19.60,52.70,0.37,5.20,18.20,0.29,11.50,17.80,0.65,15.40,16.90,9.50,24.50,34.00,8.20,5.80,2.50,55.90,9.00,0.46,0.42,130.30,26.90,70.60,48.50,42.00,20.30,8.60,7.30,1.10,30.30,83.60,103.80,-20.20,2004.10,66.80,2.00,13.00,0.00,0.00,0.00,0.00,1.00,0.00,77.00,-13.50,1.00,1.42,0.50,0.40,0.22,3.00,27.00,0.10,2013.00,America East Conference,2.19
Boston University,2.00,30.00,40.30,24.60,54.90,0.45,8.00,21.60,0.37,10.60,14.50,0.73,12.50,16.80,8.30,22.90,31.20,13.60,7.40,1.80,67.80,4.00,0.55,0.52,154.80,26.10,68.90,48.00,55.20,16.90,11.20,4.80,1.20,48.20,102.40,97.40,5.00,1987.30,65.70,6.00,9.00,0.00,0.00,0.00,0.00,2.00,0.00,85.00,3.30,0.00,1.55,1.10,0.60,0.19,17.00,13.00,0.57,2013.00,America East Conference,-0.27
Hartford,8.00,31.00,40.00,20.80,50.90,0.41,7.60,22.70,0.33,10.90,15.60,0.70,14.30,18.80,7.90,20.60,28.50,12.30,8.20,2.00,60.10,5.00,0.52,0.48,144.00,25.10,70.00,46.90,59.20,19.80,12.50,5.90,1.20,38.20,92.60,94.30,-1.70,2012.90,64.90,9.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,80.00,-1.10,2.00,1.59,0.90,0.60,0.21,17.00,14.00,0.55,2013.00,America East Conference,-0.20
Maine,3.00,30.00,40.00,24.40,56.30,0.43,5.20,17.70,0.29,12.20,18.60,0.66,15.00,18.20,10.30,25.50,35.80,12.80,7.00,4.10,66.30,7.00,0.51,0.48,138.30,29.70,69.20,50.10,52.40,18.70,10.10,10.30,1.20,46.30,95.30,100.20,-4.90,2086.40,69.50,1.00,14.00,0.00,0.00,0.00,0.00,1.00,1.00,97.00,-3.40,2.00,1.52,0.90,0.50,0.22,11.00,19.00,0.37,2013.00,America East Conference,0.54
New Hampshire,7.00,29.00,40.30,21.00,54.00,0.39,6.20,20.00,0.31,12.00,18.80,0.64,12.10,17.10,9.80,24.10,33.90,10.50,5.80,2.80,60.20,6.00,0.48,0.45,133.60,27.30,71.00,48.50,49.90,16.20,8.90,7.60,1.10,38.70,91.90,95.80,-3.90,1899.30,64.90,4.00,13.00,0.00,0.00,0.00,0.00,3.00,1.00,92.00,-2.60,3.00,1.50,0.90,0.50,0.22,9.00,20.00,0.31,2013.00,America East Conference,0.80
Stony Brook,1.00,33.00,40.00,23.90,53.90,0.44,5.80,16.50,0.35,14.30,20.30,0.70,11.80,15.60,10.20,25.80,36.00,12.30,6.40,3.80,68.00,1.00,0.54,0.50,150.20,31.90,73.50,53.60,51.50,15.80,9.80,11.60,1.30,52.50,104.10,88.00,16.10,2155.80,65.30,3.00,13.00,1.00,0.00,0.00,0.00,1.00,0.00,93.00,10.50,3.00,1.52,1.00,0.50,0.27,25.00,8.00,0.76,2013.00,America East Conference,-1.14
UMBC,5.00,31.00,40.60,23.20,56.90,0.41,6.60,19.70,0.34,10.60,16.80,0.63,14.70,20.20,10.30,21.60,31.90,11.90,7.20,2.20,63.50,8.00,0.50,0.47,137.50,29.00,67.70,47.30,51.30,18.70,10.40,6.40,1.10,37.00,91.80,103.30,-11.50,2145.70,68.10,5.00,11.00,0.00,0.00,0.00,0.00,1.00,0.00,86.00,-7.90,0.00,1.51,0.80,0.50,0.19,8.00,23.00,0.26,2013.00,America East Conference,1.05
Vermont,6.00,33.00,40.00,21.50,49.30,0.44,4.80,14.90,0.32,15.70,22.10,0.71,12.80,16.20,10.10,23.10,33.20,11.40,6.50,2.80,63.50,2.00,0.54,0.49,146.80,33.60,71.60,53.30,52.70,17.80,10.50,8.70,1.30,45.60,101.70,94.80,6.90,2061.30,62.50,7.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00,4.30,3.00,1.53,0.90,0.50,0.32,21.00,12.00,0.64,2013.00,America East Conference,-0.56
Albany,4.00,34.00,40.40,22.50,51.00,0.44,4.80,13.30,0.36,16.10,21.40,0.75,12.60,17.00,9.40,23.70,33.10,11.10,5.40,3.00,65.90,3.00,0.55,0.49,155.10,31.20,72.20,52.60,49.20,17.30,8.40,8.60,1.30,44.60,102.30,99.40,3.00,2187.90,63.60,6.00,7.00,1.00,0.00,0.00,0.00,2.00,1.00,86.00,1.90,1.00,1.49,0.90,0.40,0.32,19.00,15.00,0.56,2014.00,America East Conference,-0.24
Binghamton,8.00,30.00,40.50,19.70,51.80,0.38,6.10,19.00,0.32,15.90,22.90,0.69,14.30,19.90,9.90,21.50,31.40,9.40,6.10,2.00,61.30,9.00,0.50,0.44,139.30,28.90,68.70,47.90,47.70,18.70,9.20,6.20,1.20,32.80,91.50,106.40,-14.90,2011.20,66.20,2.00,13.00,0.00,0.00,0.00,0.00,3.00,0.00,89.00,-10.00,1.00,1.48,0.70,0.40,0.31,7.00,23.00,0.23,2014.00,America East Conference,1.19
Hartford,6.00,33.00,40.10,22.20,48.30,0.46,8.00,21.30,0.38,13.20,18.80,0.70,13.90,19.20,6.50,19.90,26.40,12.20,5.60,2.10,65.50,4.00,0.58,0.54,153.70,22.90,68.60,46.10,54.90,19.70,8.70,6.00,1.40,39.80,101.70,102.40,-0.70,2125.70,64.20,7.00,7.00,0.00,0.00,0.00,0.00,0.00,1.00,91.00,-0.50,2.00,1.55,0.90,0.40,0.27,17.00,16.00,0.52,2014.00,America East Conference,-0.06
Maine,1.00,29.00,40.20,26.20,59.00,0.44,6.30,18.70,0.34,13.50,19.90,0.68,15.10,20.90,8.50,23.30,31.90,14.40,7.60,2.30,72.10,8.00,0.53,0.50,145.70,24.00,64.60,44.50,55.10,18.20,10.10,5.30,1.20,44.90,96.10,110.50,-14.40,2176.20,74.70,5.00,9.00,0.00,0.00,0.00,0.00,5.00,0.00,111.00,-10.80,2.00,1.55,1.00,0.50,0.23,6.00,23.00,0.21,2014.00,America East Conference,1.34
New Hampshire,9.00,30.00,40.20,19.50,51.80,0.38,7.00,21.30,0.33,11.90,17.10,0.69,13.00,19.40,9.10,24.00,33.10,9.70,4.00,3.30,57.80,6.00,0.49,0.44,139.80,27.20,72.40,49.80,50.00,18.00,6.20,9.50,1.10,33.80,89.80,100.70,-10.90,1932.00,64.10,3.00,13.00,2.00,0.00,0.00,0.00,0.00,3.00,94.00,-7.00,0.00,1.50,0.70,0.30,0.23,6.00,24.00,0.20,2014.00,America East Conference,1.38
Stony Brook,2.00,34.00,40.40,25.30,55.90,0.45,5.40,15.20,0.36,15.40,21.30,0.72,12.50,19.00,11.20,24.60,35.90,12.80,5.90,3.20,71.40,2.00,0.55,0.50,152.80,34.50,74.10,54.50,50.50,16.10,8.80,10.10,1.30,50.40,106.20,98.60,7.60,2284.90,66.50,1.00,14.00,1.00,0.00,1.00,0.00,1.00,1.00,104.00,5.10,3.00,1.51,1.00,0.50,0.28,23.00,11.00,0.68,2014.00,America East Conference,-0.74
UMass Lowell,7.00,28.00,40.20,20.40,51.60,0.39,6.90,21.00,0.33,13.80,19.60,0.70,13.50,18.50,9.20,21.30,30.50,12.00,5.90,2.60,61.40,7.00,0.51,0.46,142.50,28.10,65.00,46.60,58.80,18.30,9.10,7.10,1.20,38.10,93.90,106.00,-12.00,1828.90,65.00,9.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,84.00,-7.90,2.00,1.59,0.90,0.40,0.27,10.00,18.00,0.36,2014.00,America East Conference,0.58
UMBC,5.00,30.00,41.00,22.30,55.60,0.40,5.80,19.00,0.30,15.20,23.30,0.66,15.00,23.30,11.00,21.60,32.60,11.80,8.00,2.80,65.60,5.00,0.50,0.45,136.00,29.80,68.60,47.70,53.10,18.50,11.40,8.60,1.20,37.50,93.10,103.40,-10.30,2114.00,68.70,8.00,6.00,0.00,0.00,0.00,0.00,4.00,1.00,90.00,-7.20,5.00,1.53,0.80,0.50,0.27,9.00,21.00,0.30,2014.00,America East Conference,0.84
Vermont,3.00,33.00,40.20,23.80,50.70,0.47,5.90,14.80,0.40,17.20,23.80,0.73,12.00,18.60,9.40,23.70,33.10,12.80,7.20,4.20,70.70,1.00,0.58,0.53,159.40,32.10,72.90,53.50,54.00,16.40,11.10,12.40,1.40,53.80,109.20,93.60,15.60,2137.50,64.50,4.00,11.00,2.00,0.00,0.00,0.00,2.00,2.00,93.00,10.10,4.00,1.54,1.10,0.60,0.34,22.00,11.00,0.67,2014.00,America East Conference,-0.70
Albany,4.00,33.00,40.10,22.10,50.50,0.44,6.20,17.30,0.36,14.90,19.70,0.76,11.50,16.50,9.50,22.50,32.00,10.60,5.70,1.60,65.30,4.00,0.55,0.50,155.40,31.80,73.90,53.10,47.90,16.30,9.20,5.50,1.30,44.40,105.60,97.80,7.80,2041.60,61.70,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,4.80,0.00,1.48,0.90,0.50,0.30,24.00,9.00,0.73,2015.00,America East Conference,-0.98
Binghamton,8.00,32.00,40.20,19.80,49.90,0.40,5.30,17.30,0.31,12.80,19.30,0.66,13.50,18.00,8.20,21.20,29.40,8.70,5.80,2.50,57.70,7.00,0.49,0.45,136.50,25.40,69.30,46.70,43.90,18.80,9.00,7.80,1.20,31.50,89.60,103.10,-13.50,2059.30,64.10,6.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,82.00,-8.70,2.00,1.44,0.60,0.40,0.26,6.00,26.00,0.19,2015.00,America East Conference,1.46
Hartford,5.00,30.00,40.50,21.50,53.20,0.40,7.80,24.10,0.33,11.10,15.90,0.70,12.10,18.40,8.10,22.10,30.20,12.10,6.20,1.60,61.90,5.00,0.51,0.48,142.80,24.80,71.80,47.60,56.10,16.70,9.60,4.90,1.20,38.90,95.50,98.90,-3.40,1944.80,64.00,8.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,-2.20,0.00,1.56,1.00,0.50,0.21,14.00,16.00,0.47,2015.00,America East Conference,0.13
Maine,7.00,30.00,40.30,21.60,53.30,0.41,6.60,20.30,0.32,10.70,14.70,0.73,14.40,18.50,7.50,20.90,28.40,13.10,6.00,1.10,60.40,9.00,0.51,0.47,145.40,22.70,68.40,44.60,60.70,19.40,8.90,3.10,1.10,34.20,89.70,111.10,-21.40,2019.00,66.70,9.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,86.00,-14.40,1.00,1.61,0.90,0.40,0.20,3.00,27.00,0.10,2015.00,America East Conference,2.19
New Hampshire,1.00,32.00,40.80,23.30,53.50,0.44,7.20,19.30,0.37,13.20,19.60,0.68,12.30,18.90,8.90,26.70,35.60,11.40,5.20,2.20,67.10,3.00,0.54,0.50,148.50,27.70,78.60,53.80,48.90,16.50,7.80,6.20,1.30,44.70,101.20,92.90,8.20,2123.30,65.10,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,5.50,1.00,1.49,0.90,0.40,0.25,19.00,13.00,0.59,2015.00,America East Conference,-0.38
Stony Brook,3.00,35.00,40.10,23.90,57.10,0.42,5.50,16.50,0.33,12.30,18.50,0.66,11.90,16.50,13.30,25.30,38.70,11.90,5.10,4.20,65.40,2.00,0.50,0.47,141.20,37.40,76.60,56.30,49.80,15.40,7.90,12.30,1.10,48.90,101.40,93.10,8.30,2258.50,64.30,1.00,37.00,4.00,0.00,0.00,0.00,1.00,5.00,89.00,5.40,0.00,1.50,1.00,0.40,0.21,23.00,12.00,0.66,2015.00,America East Conference,-0.65
UMass Lowell,6.00,29.00,40.50,21.00,51.10,0.41,7.70,21.40,0.36,11.60,17.50,0.66,13.20,18.00,6.60,21.00,27.60,11.10,6.90,1.00,61.40,6.00,0.52,0.49,143.40,20.90,71.10,45.20,53.00,18.40,10.50,3.10,1.20,35.20,93.00,100.70,-7.70,1914.50,65.20,5.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,102.00,-5.10,1.00,1.53,0.80,0.50,0.23,12.00,17.00,0.41,2015.00,America East Conference,0.34
UMBC,9.00,30.00,40.20,19.70,48.00,0.41,5.10,15.70,0.33,11.60,18.00,0.64,15.50,15.80,7.10,22.00,29.10,11.30,6.60,3.00,56.10,8.00,0.50,0.46,138.20,22.90,69.90,46.60,57.20,21.70,10.10,8.60,1.20,34.10,86.20,103.10,-16.90,1952.40,64.70,7.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,76.00,-11.00,0.00,1.57,0.70,0.40,0.24,4.00,26.00,0.13,2015.00,America East Conference,1.87
Vermont,2.00,34.00,40.30,23.60,50.00,0.47,5.40,15.10,0.36,14.60,21.00,0.69,13.00,19.00,7.70,24.30,32.10,13.10,6.40,5.10,67.00,1.00,0.57,0.52,151.80,26.60,72.40,51.20,55.70,18.00,9.80,14.00,1.30,49.30,102.80,90.70,12.00,2217.30,64.70,3.00,6.00,0.00,0.00,0.00,0.00,4.00,2.00,96.00,7.90,2.00,1.56,1.00,0.50,0.29,20.00,14.00,0.59,2015.00,America East Conference,-0.36
Albany,4.00,33.00,40.50,25.70,56.10,0.46,5.70,17.80,0.32,18.50,24.70,0.75,12.60,17.60,11.10,26.30,37.40,12.40,6.50,1.60,75.60,2.00,0.56,0.51,152.90,34.90,74.60,55.70,48.30,15.70,9.50,4.50,1.30,53.70,109.30,95.50,13.80,2281.90,68.40,4.00,7.00,0.00,0.00,0.00,0.00,2.00,0.00,108.00,9.50,3.00,1.48,1.00,0.50,0.33,24.00,9.00,0.73,2016.00,America East Conference,-0.98
Binghamton,9.00,30.00,40.20,21.00,53.80,0.39,5.70,20.00,0.29,13.30,19.50,0.68,14.00,18.60,8.60,24.20,32.80,11.10,5.40,2.30,60.90,7.00,0.48,0.44,135.70,24.60,72.10,47.90,52.90,18.20,7.90,6.40,1.10,35.30,89.30,100.60,-11.30,2047.00,68.00,6.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,81.00,-7.70,1.00,1.53,0.80,0.40,0.25,8.00,22.00,0.27,2016.00,America East Conference,1.01
Hartford,8.00,33.00,40.80,23.50,57.80,0.41,9.70,27.30,0.35,14.00,18.80,0.75,11.60,21.30,6.50,22.30,28.80,12.40,6.70,1.90,70.80,6.00,0.53,0.49,150.90,18.60,64.60,41.30,52.50,14.90,9.30,4.90,1.20,41.60,98.60,109.30,-10.60,2368.60,70.40,9.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,-7.60,3.00,1.53,1.10,0.60,0.24,10.00,23.00,0.30,2016.00,America East Conference,0.83
Maine,3.00,30.00,40.50,27.50,63.60,0.43,7.60,22.40,0.34,13.40,20.40,0.66,16.40,21.30,10.50,23.20,33.70,14.40,8.30,3.00,76.00,9.00,0.52,0.49,142.70,26.60,67.90,45.90,52.50,18.30,10.40,7.00,1.20,46.70,95.70,109.40,-13.70,2381.20,78.40,5.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,105.00,-10.90,1.00,1.53,0.90,0.50,0.21,8.00,22.00,0.27,2016.00,America East Conference,1.01
New Hampshire,7.00,33.00,40.30,24.50,58.90,0.42,6.70,20.20,0.33,15.20,21.00,0.72,11.60,17.70,10.80,27.20,38.00,11.80,3.80,1.80,71.00,4.00,0.52,0.47,147.40,30.10,78.10,53.60,48.10,14.40,5.50,4.90,1.20,46.70,102.10,100.20,2.00,2292.80,68.90,2.00,17.00,0.00,0.00,1.00,0.00,0.00,0.00,100.00,1.40,0.00,1.48,1.00,0.30,0.26,20.00,13.00,0.61,2016.00,America East Conference,-0.43
Stony Brook,2.00,33.00,40.20,28.30,60.40,0.47,6.70,18.10,0.37,13.00,19.30,0.67,11.50,15.80,12.40,26.20,38.60,16.40,6.20,4.50,76.20,1.00,0.55,0.52,151.00,36.30,75.30,55.90,58.00,14.20,9.00,12.10,1.30,63.20,111.10,93.40,17.70,2264.50,68.40,1.00,33.00,1.00,1.00,1.00,0.00,0.00,4.00,103.00,12.10,0.00,1.58,1.40,0.50,0.22,26.00,7.00,0.79,2016.00,America East Conference,-1.32
UMass Lowell,1.00,29.00,40.30,27.60,58.80,0.47,8.30,22.70,0.36,13.10,19.20,0.69,15.70,20.60,8.20,23.40,31.60,14.70,7.10,2.40,76.60,5.00,0.56,0.54,151.90,24.40,68.10,46.50,53.10,18.80,9.40,6.20,1.30,48.90,101.50,109.70,-8.20,2188.20,74.80,8.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,108.00,-6.20,2.00,1.53,0.90,0.50,0.22,11.00,18.00,0.38,2016.00,America East Conference,0.49
UMBC,6.00,32.00,40.30,24.60,55.90,0.44,6.80,20.40,0.33,16.10,23.60,0.68,12.40,20.00,8.20,22.40,30.60,12.30,7.00,1.80,72.10,8.00,0.54,0.50,145.50,24.20,71.60,47.00,50.10,15.60,9.60,5.00,1.30,44.70,100.40,112.30,-11.80,2297.50,71.20,7.00,6.00,0.00,0.00,0.00,0.00,2.00,0.00,93.00,-8.50,4.00,1.50,1.00,0.60,0.29,7.00,25.00,0.22,2016.00,America East Conference,1.27
Vermont,5.00,37.00,40.00,26.60,55.40,0.48,6.90,18.00,0.38,14.80,20.90,0.71,13.20,19.40,8.50,25.80,34.30,13.40,5.70,4.40,75.00,3.00,0.57,0.54,157.20,27.70,73.00,51.90,50.20,16.90,8.20,11.40,1.40,53.90,107.30,101.00,6.30,2585.20,69.90,3.00,12.00,2.00,0.00,0.00,0.00,1.00,3.00,99.00,4.40,1.00,1.50,1.00,0.40,0.27,23.00,14.00,0.62,2016.00,America East Conference,-0.50
Albany,4.00,35.00,40.00,25.90,55.50,0.47,5.50,14.70,0.37,14.00,18.50,0.76,11.90,17.60,10.10,24.70,34.70,12.70,5.10,1.70,71.30,2.00,0.56,0.52,159.70,32.80,77.50,55.60,49.00,15.60,7.80,5.60,1.30,50.20,108.40,99.90,8.50,2303.40,65.80,3.00,12.00,0.00,1.00,0.00,0.00,2.00,0.00,100.00,5.60,0.00,1.49,1.10,0.40,0.25,21.00,14.00,0.60,2017.00,America East Conference,-0.41
Binghamton,7.00,32.00,40.20,24.00,54.90,0.44,7.80,21.40,0.36,12.20,17.30,0.71,12.40,17.00,7.50,24.70,32.20,12.80,5.20,2.40,68.00,7.00,0.54,0.51,150.40,23.30,74.00,49.00,53.40,16.40,7.70,6.90,1.20,45.70,99.80,104.20,-4.40,2178.60,67.80,9.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,-3.00,0.00,1.53,1.00,0.40,0.22,12.00,20.00,0.38,2017.00,America East Conference,0.51
Hartford,8.00,32.00,40.50,22.80,56.70,0.40,8.20,24.30,0.34,12.90,18.50,0.70,14.30,18.90,8.30,23.10,31.40,11.50,7.10,3.70,66.80,8.00,0.51,0.48,144.00,23.30,66.30,44.60,50.30,17.90,10.00,9.10,1.20,41.00,93.50,107.90,-14.40,2285.20,70.60,8.00,5.00,1.00,0.00,0.00,0.00,1.00,2.00,87.00,-10.30,0.00,1.50,0.80,0.50,0.23,9.00,23.00,0.28,2017.00,America East Conference,0.93
Maine,9.00,32.00,40.00,23.30,57.80,0.40,6.60,20.80,0.32,11.40,17.40,0.65,13.10,17.60,9.40,24.50,33.90,11.80,5.20,2.00,64.70,9.00,0.49,0.46,137.60,26.00,72.80,48.50,50.50,16.50,7.40,5.30,1.10,39.70,92.70,107.50,-14.80,2232.30,69.80,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,-10.30,0.00,1.51,0.90,0.40,0.20,7.00,25.00,0.22,2017.00,America East Conference,1.27
New Hampshire,5.00,32.00,40.60,24.50,55.80,0.44,8.00,22.70,0.35,14.20,19.60,0.73,12.50,15.80,9.50,27.60,37.20,12.50,4.00,1.80,71.20,3.00,0.55,0.51,151.50,28.60,78.90,54.40,51.00,16.10,5.90,5.00,1.30,49.40,104.00,96.80,7.30,2188.60,67.40,1.00,23.00,1.00,0.00,0.00,0.00,0.00,0.00,103.00,5.00,0.00,1.51,1.00,0.30,0.26,20.00,12.00,0.63,2017.00,America East Conference,-0.51
Stony Brook,6.00,32.00,40.00,23.70,58.70,0.40,7.80,23.90,0.33,13.90,19.20,0.72,10.20,19.40,10.70,22.90,33.60,12.20,5.40,3.20,69.20,5.00,0.51,0.47,145.40,29.50,71.70,49.30,51.50,13.00,8.10,9.40,1.20,46.70,102.60,102.20,0.40,2156.80,67.40,7.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.30,0.00,1.52,1.20,0.50,0.24,18.00,14.00,0.56,2017.00,America East Conference,-0.25
UMass Lowell,2.00,31.00,40.50,28.30,58.80,0.48,8.30,21.40,0.39,13.50,18.30,0.74,15.30,20.10,8.60,23.80,32.40,16.00,5.50,2.10,78.40,6.00,0.58,0.55,160.60,26.80,70.30,49.10,56.40,18.50,7.40,5.40,1.30,51.30,105.30,109.10,-3.80,2306.40,73.40,2.00,12.00,2.00,0.00,0.00,0.00,0.00,0.00,102.00,-2.80,0.00,1.56,1.00,0.40,0.23,11.00,20.00,0.36,2017.00,America East Conference,0.59
UMBC,1.00,34.00,40.90,28.10,60.00,0.47,9.70,24.70,0.39,15.10,20.30,0.75,12.10,18.40,8.50,25.80,34.20,14.90,6.60,2.40,81.10,4.00,0.58,0.55,160.70,25.00,73.60,49.70,53.00,14.80,9.10,6.40,1.40,57.60,110.90,105.50,5.40,2488.40,71.60,4.00,10.00,1.00,0.00,1.00,0.00,3.00,1.00,120.00,4.00,0.00,1.53,1.20,0.50,0.25,21.00,13.00,0.62,2017.00,America East Conference,-0.48
Vermont,3.00,35.00,40.00,26.90,54.50,0.49,6.50,17.70,0.37,13.00,18.60,0.70,11.20,15.90,9.00,24.20,33.20,13.60,5.70,4.30,73.50,1.00,0.58,0.55,156.30,30.10,75.00,53.40,50.50,15.00,8.60,11.40,1.30,57.20,111.30,94.10,17.20,2309.40,66.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,94.00,11.30,0.00,1.51,1.20,0.50,0.24,29.00,6.00,0.83,2017.00,America East Conference,-1.58
