Team,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season,Leage,ln1divwmin1
Manhattan,343.00,31.00,40.60,23.80,53.60,0.44,7.70,19.30,0.40,14.00,20.20,0.69,15.50,19.90,9.80,22.40,32.30,14.00,6.00,3.90,69.30,233.00,0.55,0.52,153.80,30.30,67.70,49.20,58.80,19.70,8.70,11.40,1.30,45.90,100.60,101.90,-1.30,2134.10,67.70,158.00,13.00,1.00,0.00,0.00,0.00,1.00,5.00,101.00,-0.90,0.00,1.59,0.90,0.40,0.26,14.00,17.00,0.45,2018.00,Independents Conference,0.19
Marist,260.00,31.00,40.60,24.50,55.20,0.45,9.00,25.90,0.35,14.10,19.70,0.71,15.70,17.60,6.80,25.30,32.10,11.90,4.20,2.50,72.20,350.00,0.56,0.53,150.80,21.30,70.30,47.20,48.50,19.60,5.80,6.40,1.30,42.60,98.80,111.00,-12.20,2265.70,71.90,308.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,100.00,-8.90,0.00,1.49,0.80,0.30,0.26,6.00,25.00,0.19,2018.00,Independents Conference,1.42
Marquette,44.00,35.00,40.40,28.30,59.50,0.48,11.00,26.40,0.42,13.80,17.10,0.81,12.30,19.40,8.30,22.40,30.70,15.70,6.10,3.70,81.30,141.00,0.60,0.57,169.70,26.40,71.70,49.00,55.70,15.40,8.50,9.60,1.40,58.20,113.20,109.30,3.90,2514.70,71.10,318.00,5.00,0.00,1.00,0.00,0.00,1.00,1.00,101.00,2.80,0.00,1.56,1.30,0.50,0.23,21.00,14.00,0.60,2018.00,Independents Conference,-0.41
Mars Hill,612.00,1.00,40.20,15.00,70.00,0.21,8.00,30.00,0.27,11.00,17.00,0.65,16.00,17.00,17.00,21.00,38.00,8.00,6.00,2.00,49.00,641.00,0.31,0.27,112.80,29.30,58.30,40.40,53.30,17.00,7.70,5.30,0.70,14.30,63.40,134.60,-71.20,77.30,76.90,416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,-55.00,0.00,1.53,0.50,0.40,0.16,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Marshall,18.00,36.00,40.40,28.90,62.00,0.47,10.10,28.10,0.36,15.90,20.80,0.76,13.20,17.10,7.60,27.00,34.60,17.10,7.00,5.80,83.80,115.00,0.58,0.55,158.80,21.90,69.10,46.90,58.90,15.50,9.00,12.50,1.40,64.70,107.90,101.90,6.00,2795.90,76.90,14.00,27.00,11.00,0.00,0.00,0.00,3.00,12.00,106.00,4.70,0.00,1.59,1.30,0.50,0.26,25.00,11.00,0.69,2018.00,Independents Conference,-0.82
Maryland,230.00,32.00,40.20,25.30,53.00,0.48,7.20,19.30,0.37,15.20,20.20,0.76,13.70,16.00,8.90,25.70,34.70,14.10,4.30,4.30,73.10,74.00,0.58,0.55,160.40,30.80,72.20,53.60,55.70,17.90,6.40,11.60,1.40,54.80,108.50,99.30,9.20,2155.50,67.10,198.00,10.00,0.00,0.00,0.00,0.00,2.00,0.00,96.00,6.20,0.00,1.56,1.00,0.30,0.29,19.00,13.00,0.59,2018.00,Independents Conference,-0.38
Maryland-Eastern Shore,470.00,32.00,40.00,22.20,57.60,0.39,6.40,22.70,0.28,11.40,16.90,0.68,13.10,17.10,9.90,21.90,31.80,10.80,4.70,1.80,62.20,405.00,0.47,0.44,134.40,27.00,65.90,45.50,48.90,16.60,7.00,5.00,1.10,34.70,91.30,113.30,-22.00,2182.60,68.20,180.00,11.00,0.00,0.00,0.00,0.00,1.00,0.00,95.00,-15.00,0.00,1.49,0.80,0.40,0.20,7.00,25.00,0.22,2018.00,Independents Conference,1.27
Massachusetts,268.00,33.00,40.90,26.10,58.10,0.45,8.90,22.20,0.40,10.90,14.60,0.75,12.80,18.00,8.70,23.10,31.70,15.30,4.80,3.00,71.90,270.00,0.55,0.53,159.60,26.60,70.70,48.70,58.70,16.40,6.90,7.70,1.20,49.00,103.90,107.80,-4.00,2285.70,67.70,273.00,7.00,1.00,1.00,0.00,0.00,0.00,1.00,101.00,-2.80,0.00,1.59,1.20,0.40,0.19,13.00,20.00,0.39,2018.00,Independents Conference,0.43
Mayville State,548.00,2.00,40.00,21.50,64.00,0.34,9.50,26.50,0.36,3.50,7.50,0.47,12.00,16.00,8.00,24.50,32.50,11.50,2.00,2.00,56.00,506.00,0.41,0.41,116.10,17.80,73.10,41.40,53.50,15.10,2.70,5.00,0.90,27.10,76.40,118.60,-42.30,146.70,73.30,595.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,-31.00,0.00,1.54,1.00,0.20,0.06,0.00,2.00,0.00,2018.00,Independents Conference,6.91
McMurry,606.00,2.00,40.00,18.50,55.50,0.33,5.00,18.00,0.28,7.50,15.00,0.50,28.50,25.00,12.50,24.50,37.00,8.00,6.00,4.50,49.50,593.00,0.40,0.38,111.10,30.10,63.60,46.20,43.20,31.30,7.70,9.40,0.90,10.60,63.20,120.00,-56.80,156.60,78.30,661.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,-44.50,0.00,1.43,0.30,0.20,0.14,0.00,2.00,0.00,2018.00,Independents Conference,6.91
